36 Channels and 32 Optodes

 # , x, y, z
CH01 : -11  73  -5
CH02 : 14  73  -5
CH03 : 3  69  14
CH04 : 37  65 -10
CH05 : 52  48   0
CH06 : -34  64  -9
CH07 : -49  49  -1
CH08 : 29  69   5
CH09 : 17  68  25
CH10 : 45  55  16
CH11 : -26  68   4
CH12 : -14  68  24
CH13 : -42  55  15
CH14 : 1  55  41
CH15 : 13  46  53
CH16 : -10  46  52
CH17 : -30  45  41
CH18 : -47  43  24
CH19 : 34  45  43
CH20 : 50  43  26
CH21 : -61   2 -30
CH22 : -69  -8 -14
CH23 : 63   2 -29
CH24 : 70  -8 -12
CH25 : -70 -20   6
CH26 : -69 -34  27
CH27 : 73 -21   8
CH28 : 70 -35  29
CH29 : -70 -36 -11
CH30 : -69 -48   9
CH31 : -63 -50 -23
CH32 : 72 -37 -10
CH33 : 69 -50  11
CH34 : 64 -52 -22
CH35 : -14 -107   10
CH36 : 14 -106   10
Fpz : 2  70  -3
AF7 : -43  56 -11
AF8 : 46  56 -10
AF3 : -27  66  17
AF4 : 31  66  17
Fz : 3  44  52
F3 : -40  45  34
F4 : 42  43  35
FT7 : -63   3 -15
FT8 : 65   4 -13
C5 : -68 -18  26
C6 : 70 -19  28
TP7 : -68 -48  -9
TP8 : 69 -49  -7
O1 : -23 -105    6
O2 : 22 -105    7
Fp1 : -22  69  -7
Fp2 : 27  69  -7
AFz : 3  63  28
F5 : -52  40  12
F6 : 55  40  13
F1 : -20  46  49
F2 : 22  45  50
FT9 : -56   0 -40
FT10 : 58  -1 -40
T7 : -71 -21 -13
T8 : 73 -22 -11
CP5 : -66 -48  29
CP6 : 67 -48  29
TP9 : -54 -58 -43
TP10 : 56 -58 -41
Oz : -5 -106   12
